"date","births","year","month","day_of_month","day_of_week"
1972-11-22,9157,1972,"Nov",22,"Wed"
1972-11-23,7403,1972,"Nov",23,"Thu"
1972-11-24,8603,1972,"Nov",24,"Fri"
1972-11-25,8307,1972,"Nov",25,"Sat"
1972-11-26,7790,1972,"Nov",26,"Sun"
1972-11-27,9374,1972,"Nov",27,"Mon"
1972-11-28,9663,1972,"Nov",28,"Tue"
1972-11-29,9178,1972,"Nov",29,"Wed"
1972-11-30,9056,1972,"Nov",30,"Thu"
1972-12-01,9072,1972,"Dec",1,"Fri"
1972-12-02,8109,1972,"Dec",2,"Sat"
1972-12-03,7883,1972,"Dec",3,"Sun"
1972-12-04,9296,1972,"Dec",4,"Mon"
1972-12-05,9677,1972,"Dec",5,"Tue"
1972-12-06,9279,1972,"Dec",6,"Wed"
1972-12-07,9126,1972,"Dec",7,"Thu"
1972-12-08,9010,1972,"Dec",8,"Fri"
1972-12-09,8241,1972,"Dec",9,"Sat"
1972-12-10,7882,1972,"Dec",10,"Sun"
1972-12-11,9439,1972,"Dec",11,"Mon"
1972-12-12,9902,1972,"Dec",12,"Tue"
1972-12-13,9356,1972,"Dec",13,"Wed"
1972-12-14,9277,1972,"Dec",14,"Thu"
1972-12-15,9706,1972,"Dec",15,"Fri"
1972-12-16,8676,1972,"Dec",16,"Sat"
1972-12-17,7770,1972,"Dec",17,"Sun"
1972-12-18,10101,1972,"Dec",18,"Mon"
1972-12-19,10264,1972,"Dec",19,"Tue"
1972-12-20,9800,1972,"Dec",20,"Wed"
1972-12-21,9431,1972,"Dec",21,"Thu"
1972-12-22,8767,1972,"Dec",22,"Fri"
1972-12-23,7566,1972,"Dec",23,"Sat"
1972-12-24,7177,1972,"Dec",24,"Sun"
1972-12-25,7241,1972,"Dec",25,"Mon"
1972-12-26,8785,1972,"Dec",26,"Tue"
1972-12-27,9832,1972,"Dec",27,"Wed"
1972-12-28,10023,1972,"Dec",28,"Thu"
1972-12-29,10026,1972,"Dec",29,"Fri"
1972-12-30,8557,1972,"Dec",30,"Sat"
1972-12-31,7812,1972,"Dec",31,"Sun"
1973-01-01,7391,1973,"Jan",1,"Mon"
1973-01-02,8242,1973,"Jan",2,"Tue"
1973-01-03,8966,1973,"Jan",3,"Wed"
1973-01-04,8879,1973,"Jan",4,"Thu"
1973-01-05,8859,1973,"Jan",5,"Fri"
1973-01-06,7766,1973,"Jan",6,"Sat"
1973-01-07,7309,1973,"Jan",7,"Sun"
1973-01-08,8586,1973,"Jan",8,"Mon"
1973-01-09,8706,1973,"Jan",9,"Tue"
1973-01-10,8679,1973,"Jan",10,"Wed"
1973-01-11,8950,1973,"Jan",11,"Thu"
1973-01-12,9185,1973,"Jan",12,"Fri"
1973-01-13,8184,1973,"Jan",13,"Sat"
1973-01-14,7560,1973,"Jan",14,"Sun"
1973-01-15,8903,1973,"Jan",15,"Mon"
1973-01-16,9349,1973,"Jan",16,"Tue"
1973-01-17,9196,1973,"Jan",17,"Wed"
1973-01-18,9064,1973,"Jan",18,"Thu"
1973-01-19,9387,1973,"Jan",19,"Fri"
1973-01-20,8022,1973,"Jan",20,"Sat"
1973-01-21,7619,1973,"Jan",21,"Sun"
1973-01-22,9039,1973,"Jan",22,"Mon"
1973-01-23,9272,1973,"Jan",23,"Tue"
1973-01-24,8886,1973,"Jan",24,"Wed"
1973-01-25,8959,1973,"Jan",25,"Thu"
1973-01-26,9037,1973,"Jan",26,"Fri"
1973-01-27,8022,1973,"Jan",27,"Sat"
1973-01-28,7827,1973,"Jan",28,"Sun"
1973-01-29,8989,1973,"Jan",29,"Mon"
1973-01-30,8759,1973,"Jan",30,"Tue"
1973-01-31,8837,1973,"Jan",31,"Wed"
1973-02-01,8495,1973,"Feb",1,"Thu"
1973-02-02,8877,1973,"Feb",2,"Fri"
1973-02-03,8127,1973,"Feb",3,"Sat"
1973-02-04,7487,1973,"Feb",4,"Sun"
1973-02-05,9013,1973,"Feb",5,"Mon"
1973-02-06,9232,1973,"Feb",6,"Tue"
1973-02-07,8828,1973,"Feb",7,"Wed"
1973-02-08,8799,1973,"Feb",8,"Thu"
1973-02-09,9005,1973,"Feb",9,"Fri"
1973-02-10,8121,1973,"Feb",10,"Sat"
1973-02-11,7411,1973,"Feb",11,"Sun"
1973-02-12,8905,1973,"Feb",12,"Mon"
1973-02-13,8896,1973,"Feb",13,"Tue"
1973-02-14,9123,1973,"Feb",14,"Wed"
1973-02-15,8905,1973,"Feb",15,"Thu"
1973-02-16,8941,1973,"Feb",16,"Fri"
1973-02-17,8154,1973,"Feb",17,"Sat"
1973-02-18,7409,1973,"Feb",18,"Sun"
1973-02-19,8613,1973,"Feb",19,"Mon"
1973-02-20,9140,1973,"Feb",20,"Tue"
1973-02-21,9342,1973,"Feb",21,"Wed"
1973-02-22,8816,1973,"Feb",22,"Thu"
1973-02-23,8933,1973,"Feb",23,"Fri"
1973-02-24,8350,1973,"Feb",24,"Sat"
1973-02-25,7893,1973,"Feb",25,"Sun"
1973-02-26,8867,1973,"Feb",26,"Mon"
1973-02-27,9027,1973,"Feb",27,"Tue"
1973-02-28,8934,1973,"Feb",28,"Wed"
1973-03-01,9056,1973,"Mar",1,"Thu"
1973-03-02,9250,1973,"Mar",2,"Fri"
1973-03-03,8431,1973,"Mar",3,"Sat"
1973-03-04,7834,1973,"Mar",4,"Sun"
1973-03-05,8982,1973,"Mar",5,"Mon"
1973-03-06,9410,1973,"Mar",6,"Tue"
1973-03-07,9087,1973,"Mar",7,"Wed"
1973-03-08,9036,1973,"Mar",8,"Thu"
1973-03-09,9100,1973,"Mar",9,"Fri"
1973-03-10,8215,1973,"Mar",10,"Sat"
1973-03-11,7675,1973,"Mar",11,"Sun"
1973-03-12,9191,1973,"Mar",12,"Mon"
1973-03-13,9411,1973,"Mar",13,"Tue"
1973-03-14,8913,1973,"Mar",14,"Wed"
1973-03-15,9092,1973,"Mar",15,"Thu"
1973-03-16,8899,1973,"Mar",16,"Fri"
1973-03-17,8060,1973,"Mar",17,"Sat"
1973-03-18,7573,1973,"Mar",18,"Sun"
1973-03-19,8728,1973,"Mar",19,"Mon"
1973-03-20,9052,1973,"Mar",20,"Tue"
1973-03-21,8797,1973,"Mar",21,"Wed"
1973-03-22,8804,1973,"Mar",22,"Thu"
1973-03-23,8970,1973,"Mar",23,"Fri"
1973-03-24,7848,1973,"Mar",24,"Sat"
1973-03-25,7603,1973,"Mar",25,"Sun"
1973-03-26,8968,1973,"Mar",26,"Mon"
1973-03-27,9110,1973,"Mar",27,"Tue"
1973-03-28,8752,1973,"Mar",28,"Wed"
1973-03-29,8836,1973,"Mar",29,"Thu"
1973-03-30,8919,1973,"Mar",30,"Fri"
1973-03-31,7887,1973,"Mar",31,"Sat"
1973-04-01,7495,1973,"Apr",1,"Sun"
1973-04-02,8906,1973,"Apr",2,"Mon"
1973-04-03,9035,1973,"Apr",3,"Tue"
1973-04-04,8766,1973,"Apr",4,"Wed"
1973-04-05,8507,1973,"Apr",5,"Thu"
1973-04-06,8615,1973,"Apr",6,"Fri"
1973-04-07,8060,1973,"Apr",7,"Sat"
1973-04-08,7355,1973,"Apr",8,"Sun"
1973-04-09,8449,1973,"Apr",9,"Mon"
1973-04-10,8843,1973,"Apr",10,"Tue"
1973-04-11,8781,1973,"Apr",11,"Wed"
1973-04-12,8613,1973,"Apr",12,"Thu"
1973-04-13,8616,1973,"Apr",13,"Fri"
1973-04-14,7445,1973,"Apr",14,"Sat"
1973-04-15,7167,1973,"Apr",15,"Sun"
1973-04-16,8659,1973,"Apr",16,"Mon"
1973-04-17,8917,1973,"Apr",17,"Tue"
1973-04-18,8891,1973,"Apr",18,"Wed"
1973-04-19,8672,1973,"Apr",19,"Thu"
1973-04-20,8540,1973,"Apr",20,"Fri"
1973-04-21,7579,1973,"Apr",21,"Sat"
1973-04-22,6954,1973,"Apr",22,"Sun"
1973-04-23,8372,1973,"Apr",23,"Mon"
1973-04-24,8757,1973,"Apr",24,"Tue"
1973-04-25,8352,1973,"Apr",25,"Wed"
1973-04-26,8508,1973,"Apr",26,"Thu"
1973-04-27,8537,1973,"Apr",27,"Fri"
1973-04-28,7390,1973,"Apr",28,"Sat"
1973-04-29,6757,1973,"Apr",29,"Sun"
1973-04-30,8514,1973,"Apr",30,"Mon"
1973-05-01,8848,1973,"May",1,"Tue"
1973-05-02,8501,1973,"May",2,"Wed"
1973-05-03,8321,1973,"May",3,"Thu"
1973-05-04,8296,1973,"May",4,"Fri"
1973-05-05,7546,1973,"May",5,"Sat"
1973-05-06,6892,1973,"May",6,"Sun"
1973-05-07,8274,1973,"May",7,"Mon"
1973-05-08,8980,1973,"May",8,"Tue"
1973-05-09,8626,1973,"May",9,"Wed"
1973-05-10,8438,1973,"May",10,"Thu"
1973-05-11,8619,1973,"May",11,"Fri"
1973-05-12,7439,1973,"May",12,"Sat"
1973-05-13,6989,1973,"May",13,"Sun"
1973-05-14,8236,1973,"May",14,"Mon"
1973-05-15,8776,1973,"May",15,"Tue"
1973-05-16,8545,1973,"May",16,"Wed"
1973-05-17,8549,1973,"May",17,"Thu"
1973-05-18,8584,1973,"May",18,"Fri"
1973-05-19,7699,1973,"May",19,"Sat"
1973-05-20,7165,1973,"May",20,"Sun"
1973-05-21,8661,1973,"May",21,"Mon"
1973-05-22,8767,1973,"May",22,"Tue"
1973-05-23,8506,1973,"May",23,"Wed"
1973-05-24,8429,1973,"May",24,"Thu"
1973-05-25,9097,1973,"May",25,"Fri"
1973-05-26,7708,1973,"May",26,"Sat"
1973-05-27,7179,1973,"May",27,"Sun"
1973-05-28,7303,1973,"May",28,"Mon"
1973-05-29,8909,1973,"May",29,"Tue"
1973-05-30,8785,1973,"May",30,"Wed"
1973-05-31,8588,1973,"May",31,"Thu"
1973-06-01,8855,1973,"Jun",1,"Fri"
1973-06-02,7846,1973,"Jun",2,"Sat"
1973-06-03,7209,1973,"Jun",3,"Sun"
1973-06-04,8505,1973,"Jun",4,"Mon"
1973-06-05,8898,1973,"Jun",5,"Tue"
1973-06-06,8706,1973,"Jun",6,"Wed"
1973-06-07,8786,1973,"Jun",7,"Thu"
1973-06-08,8801,1973,"Jun",8,"Fri"
1973-06-09,7930,1973,"Jun",9,"Sat"
1973-06-10,7330,1973,"Jun",10,"Sun"
1973-06-11,8896,1973,"Jun",11,"Mon"
1973-06-12,9026,1973,"Jun",12,"Tue"
1973-06-13,8730,1973,"Jun",13,"Wed"
1973-06-14,8625,1973,"Jun",14,"Thu"
1973-06-15,8822,1973,"Jun",15,"Fri"
1973-06-16,8025,1973,"Jun",16,"Sat"
1973-06-17,7405,1973,"Jun",17,"Sun"
1973-06-18,8959,1973,"Jun",18,"Mon"
1973-06-19,9046,1973,"Jun",19,"Tue"
1973-06-20,8702,1973,"Jun",20,"Wed"
1973-06-21,8782,1973,"Jun",21,"Thu"
1973-06-22,8928,1973,"Jun",22,"Fri"
1973-06-23,7782,1973,"Jun",23,"Sat"
1973-06-24,7281,1973,"Jun",24,"Sun"
1973-06-25,8790,1973,"Jun",25,"Mon"
1973-06-26,9081,1973,"Jun",26,"Tue"
1973-06-27,9012,1973,"Jun",27,"Wed"
1973-06-28,9068,1973,"Jun",28,"Thu"
1973-06-29,9008,1973,"Jun",29,"Fri"
1973-06-30,7931,1973,"Jun",30,"Sat"
1973-07-01,7569,1973,"Jul",1,"Sun"
1973-07-02,9003,1973,"Jul",2,"Mon"
1973-07-03,9829,1973,"Jul",3,"Tue"
1973-07-04,7910,1973,"Jul",4,"Wed"
1973-07-05,9168,1973,"Jul",5,"Thu"
1973-07-06,9450,1973,"Jul",6,"Fri"
1973-07-07,8352,1973,"Jul",7,"Sat"
1973-07-08,7787,1973,"Jul",8,"Sun"
1973-07-09,9326,1973,"Jul",9,"Mon"
1973-07-10,9627,1973,"Jul",10,"Tue"
1973-07-11,9197,1973,"Jul",11,"Wed"
1973-07-12,8939,1973,"Jul",12,"Thu"
1973-07-13,9028,1973,"Jul",13,"Fri"
1973-07-14,8445,1973,"Jul",14,"Sat"
1973-07-15,7551,1973,"Jul",15,"Sun"
1973-07-16,9090,1973,"Jul",16,"Mon"
1973-07-17,9639,1973,"Jul",17,"Tue"
1973-07-18,9272,1973,"Jul",18,"Wed"
1973-07-19,9290,1973,"Jul",19,"Thu"
1973-07-20,9470,1973,"Jul",20,"Fri"
1973-07-21,8295,1973,"Jul",21,"Sat"
1973-07-22,7644,1973,"Jul",22,"Sun"
1973-07-23,9236,1973,"Jul",23,"Mon"
1973-07-24,9450,1973,"Jul",24,"Tue"
1973-07-25,9493,1973,"Jul",25,"Wed"
1973-07-26,9332,1973,"Jul",26,"Thu"
1973-07-27,9416,1973,"Jul",27,"Fri"
1973-07-28,8424,1973,"Jul",28,"Sat"
1973-07-29,7745,1973,"Jul",29,"Sun"
1973-07-30,9225,1973,"Jul",30,"Mon"
1973-07-31,9702,1973,"Jul",31,"Tue"
1973-08-01,9437,1973,"Aug",1,"Wed"
1973-08-02,9399,1973,"Aug",2,"Thu"
1973-08-03,9421,1973,"Aug",3,"Fri"
1973-08-04,8095,1973,"Aug",4,"Sat"
1973-08-05,7616,1973,"Aug",5,"Sun"
1973-08-06,9444,1973,"Aug",6,"Mon"
1973-08-07,9770,1973,"Aug",7,"Tue"
1973-08-08,9598,1973,"Aug",8,"Wed"
1973-08-09,9418,1973,"Aug",9,"Thu"
1973-08-10,9829,1973,"Aug",10,"Fri"
1973-08-11,8192,1973,"Aug",11,"Sat"
1973-08-12,7908,1973,"Aug",12,"Sun"
1973-08-13,9208,1973,"Aug",13,"Mon"
1973-08-14,9842,1973,"Aug",14,"Tue"
1973-08-15,9540,1973,"Aug",15,"Wed"
1973-08-16,9283,1973,"Aug",16,"Thu"
1973-08-17,9309,1973,"Aug",17,"Fri"
1973-08-18,8280,1973,"Aug",18,"Sat"
1973-08-19,7781,1973,"Aug",19,"Sun"
1973-08-20,9467,1973,"Aug",20,"Mon"
1973-08-21,9641,1973,"Aug",21,"Tue"
1973-08-22,9417,1973,"Aug",22,"Wed"
1973-08-23,9049,1973,"Aug",23,"Thu"
1973-08-24,9348,1973,"Aug",24,"Fri"
1973-08-25,8320,1973,"Aug",25,"Sat"
1973-08-26,7978,1973,"Aug",26,"Sun"
1973-08-27,9497,1973,"Aug",27,"Mon"
1973-08-28,9701,1973,"Aug",28,"Tue"
1973-08-29,9408,1973,"Aug",29,"Wed"
1973-08-30,9556,1973,"Aug",30,"Thu"
1973-08-31,9391,1973,"Aug",31,"Fri"
1973-09-01,8400,1973,"Sep",1,"Sat"
1973-09-02,7707,1973,"Sep",2,"Sun"
1973-09-03,7781,1973,"Sep",3,"Mon"
1973-09-04,9514,1973,"Sep",4,"Tue"
1973-09-05,9897,1973,"Sep",5,"Wed"
1973-09-06,9211,1973,"Sep",6,"Thu"
1973-09-07,9417,1973,"Sep",7,"Fri"
1973-09-08,8257,1973,"Sep",8,"Sat"
1973-09-09,7961,1973,"Sep",9,"Sun"
1973-09-10,9165,1973,"Sep",10,"Mon"
1973-09-11,9701,1973,"Sep",11,"Tue"
1973-09-12,9303,1973,"Sep",12,"Wed"
1973-09-13,9106,1973,"Sep",13,"Thu"
1973-09-14,9669,1973,"Sep",14,"Fri"
1973-09-15,8507,1973,"Sep",15,"Sat"
1973-09-16,7994,1973,"Sep",16,"Sun"
1973-09-17,9538,1973,"Sep",17,"Mon"
1973-09-18,9625,1973,"Sep",18,"Tue"
1973-09-19,9364,1973,"Sep",19,"Wed"
1973-09-20,9768,1973,"Sep",20,"Thu"
1973-09-21,9617,1973,"Sep",21,"Fri"
1973-09-22,8731,1973,"Sep",22,"Sat"
1973-09-23,8256,1973,"Sep",23,"Sun"
1973-09-24,9611,1973,"Sep",24,"Mon"
1973-09-25,10089,1973,"Sep",25,"Tue"
1973-09-26,9795,1973,"Sep",26,"Wed"
1973-09-27,9597,1973,"Sep",27,"Thu"
1973-09-28,9547,1973,"Sep",28,"Fri"
1973-09-29,8433,1973,"Sep",29,"Sat"
1973-09-30,8014,1973,"Sep",30,"Sun"
1973-10-01,9303,1973,"Oct",1,"Mon"
1973-10-02,9676,1973,"Oct",2,"Tue"
1973-10-03,9069,1973,"Oct",3,"Wed"
1973-10-04,8949,1973,"Oct",4,"Thu"
1973-10-05,9247,1973,"Oct",5,"Fri"
1973-10-06,8174,1973,"Oct",6,"Sat"
1973-10-07,7616,1973,"Oct",7,"Sun"
1973-10-08,9056,1973,"Oct",8,"Mon"
1973-10-09,9309,1973,"Oct",9,"Tue"
1973-10-10,9127,1973,"Oct",10,"Wed"
1973-10-11,8822,1973,"Oct",11,"Thu"
1973-10-12,8928,1973,"Oct",12,"Fri"
1973-10-13,7928,1973,"Oct",13,"Sat"
1973-10-14,7443,1973,"Oct",14,"Sun"
1973-10-15,8823,1973,"Oct",15,"Mon"
1973-10-16,9105,1973,"Oct",16,"Tue"
1973-10-17,8714,1973,"Oct",17,"Wed"
1973-10-18,8702,1973,"Oct",18,"Thu"
1973-10-19,8853,1973,"Oct",19,"Fri"
1973-10-20,7637,1973,"Oct",20,"Sat"
1973-10-21,7046,1973,"Oct",21,"Sun"
1973-10-22,8430,1973,"Oct",22,"Mon"
1973-10-23,9255,1973,"Oct",23,"Tue"
1973-10-24,8805,1973,"Oct",24,"Wed"
1973-10-25,8507,1973,"Oct",25,"Thu"
1973-10-26,8753,1973,"Oct",26,"Fri"
1973-10-27,7746,1973,"Oct",27,"Sat"
1973-10-28,7374,1973,"Oct",28,"Sun"
1973-10-29,8564,1973,"Oct",29,"Mon"
1973-10-30,8728,1973,"Oct",30,"Tue"
1973-10-31,8695,1973,"Oct",31,"Wed"
1973-11-01,8763,1973,"Nov",1,"Thu"
1973-11-02,8759,1973,"Nov",2,"Fri"
1973-11-03,7741,1973,"Nov",3,"Sat"
1973-11-04,7245,1973,"Nov",4,"Sun"
1973-11-05,8712,1973,"Nov",5,"Mon"
1973-11-06,8608,1973,"Nov",6,"Tue"
1973-11-07,8716,1973,"Nov",7,"Wed"
1973-11-08,8646,1973,"Nov",8,"Thu"
1973-11-09,8997,1973,"Nov",9,"Fri"
1973-11-10,7859,1973,"Nov",10,"Sat"
1973-11-11,7420,1973,"Nov",11,"Sun"
1973-11-12,8684,1973,"Nov",12,"Mon"
1973-11-13,9149,1973,"Nov",13,"Tue"
1973-11-14,8839,1973,"Nov",14,"Wed"
1973-11-15,8721,1973,"Nov",15,"Thu"
1973-11-16,9139,1973,"Nov",16,"Fri"
1973-11-17,7877,1973,"Nov",17,"Sat"
1973-11-18,7420,1973,"Nov",18,"Sun"
1973-11-19,8875,1973,"Nov",19,"Mon"
1973-11-20,9399,1973,"Nov",20,"Tue"
1973-11-21,8596,1973,"Nov",21,"Wed"
1973-11-22,7049,1973,"Nov",22,"Thu"
1973-11-23,8242,1973,"Nov",23,"Fri"
1973-11-24,7760,1973,"Nov",24,"Sat"
1973-11-25,7379,1973,"Nov",25,"Sun"
1973-11-26,9052,1973,"Nov",26,"Mon"
1973-11-27,9345,1973,"Nov",27,"Tue"
1973-11-28,8592,1973,"Nov",28,"Wed"
1973-11-29,8552,1973,"Nov",29,"Thu"
1973-11-30,8590,1973,"Nov",30,"Fri"
1973-12-01,7677,1973,"Dec",1,"Sat"
1973-12-02,7312,1973,"Dec",2,"Sun"
1973-12-03,8739,1973,"Dec",3,"Mon"
1973-12-04,9104,1973,"Dec",4,"Tue"
1973-12-05,8799,1973,"Dec",5,"Wed"
1973-12-06,8649,1973,"Dec",6,"Thu"
1973-12-07,8481,1973,"Dec",7,"Fri"
1973-12-08,7682,1973,"Dec",8,"Sat"
1973-12-09,7456,1973,"Dec",9,"Sun"
1973-12-10,8892,1973,"Dec",10,"Mon"
1973-12-11,9058,1973,"Dec",11,"Tue"
1973-12-12,8794,1973,"Dec",12,"Wed"
1973-12-13,8751,1973,"Dec",13,"Thu"
1973-12-14,9177,1973,"Dec",14,"Fri"
1973-12-15,7821,1973,"Dec",15,"Sat"
1973-12-16,7664,1973,"Dec",16,"Sun"
1973-12-17,9410,1973,"Dec",17,"Mon"
1973-12-18,9536,1973,"Dec",18,"Tue"
1973-12-19,9317,1973,"Dec",19,"Wed"
1973-12-20,8981,1973,"Dec",20,"Thu"
1973-12-21,8931,1973,"Dec",21,"Fri"
1973-12-22,7585,1973,"Dec",22,"Sat"
1973-12-23,7012,1973,"Dec",23,"Sun"
1973-12-24,7300,1973,"Dec",24,"Mon"
1973-12-25,6964,1973,"Dec",25,"Tue"
1973-12-26,8136,1973,"Dec",26,"Wed"
1973-12-27,9509,1973,"Dec",27,"Thu"
1973-12-28,9950,1973,"Dec",28,"Fri"
1973-12-29,8320,1973,"Dec",29,"Sat"
1973-12-30,7365,1973,"Dec",30,"Sun"
1973-12-31,8966,1973,"Dec",31,"Mon"
1974-01-01,7002,1974,"Jan",1,"Tue"
1974-01-02,7809,1974,"Jan",2,"Wed"
1974-01-03,8377,1974,"Jan",3,"Thu"
1974-01-04,8851,1974,"Jan",4,"Fri"
1974-01-05,7827,1974,"Jan",5,"Sat"
1974-01-06,7093,1974,"Jan",6,"Sun"
1974-01-07,8623,1974,"Jan",7,"Mon"
1974-01-08,8786,1974,"Jan",8,"Tue"
1974-01-09,8346,1974,"Jan",9,"Wed"
1974-01-10,8682,1974,"Jan",10,"Thu"
1974-01-11,9044,1974,"Jan",11,"Fri"
1974-01-12,7769,1974,"Jan",12,"Sat"
1974-01-13,7352,1974,"Jan",13,"Sun"
1974-01-14,8796,1974,"Jan",14,"Mon"
1974-01-15,8939,1974,"Jan",15,"Tue"
1974-01-16,8732,1974,"Jan",16,"Wed"
1974-01-17,8604,1974,"Jan",17,"Thu"
1974-01-18,8971,1974,"Jan",18,"Fri"
1974-01-19,7751,1974,"Jan",19,"Sat"
1974-01-20,7479,1974,"Jan",20,"Sun"
1974-01-21,9058,1974,"Jan",21,"Mon"
1974-01-22,8767,1974,"Jan",22,"Tue"
1974-01-23,8457,1974,"Jan",23,"Wed"
1974-01-24,8692,1974,"Jan",24,"Thu"
1974-01-25,8690,1974,"Jan",25,"Fri"
1974-01-26,7799,1974,"Jan",26,"Sat"
1974-01-27,7541,1974,"Jan",27,"Sun"
1974-01-28,8462,1974,"Jan",28,"Mon"
1974-01-29,8911,1974,"Jan",29,"Tue"
1974-01-30,8439,1974,"Jan",30,"Wed"
1974-01-31,8620,1974,"Jan",31,"Thu"
1974-02-01,8768,1974,"Feb",1,"Fri"
1974-02-02,7853,1974,"Feb",2,"Sat"
1974-02-03,7432,1974,"Feb",3,"Sun"
1974-02-04,8651,1974,"Feb",4,"Mon"
1974-02-05,8892,1974,"Feb",5,"Tue"
1974-02-06,8792,1974,"Feb",6,"Wed"
1974-02-07,8705,1974,"Feb",7,"Thu"
1974-02-08,8822,1974,"Feb",8,"Fri"
1974-02-09,7692,1974,"Feb",9,"Sat"
1974-02-10,7150,1974,"Feb",10,"Sun"
1974-02-11,8766,1974,"Feb",11,"Mon"
1974-02-12,8924,1974,"Feb",12,"Tue"
1974-02-13,8808,1974,"Feb",13,"Wed"
1974-02-14,8895,1974,"Feb",14,"Thu"
1974-02-15,9034,1974,"Feb",15,"Fri"
1974-02-16,7939,1974,"Feb",16,"Sat"
1974-02-17,7456,1974,"Feb",17,"Sun"
1974-02-18,8637,1974,"Feb",18,"Mon"
1974-02-19,9016,1974,"Feb",19,"Tue"
1974-02-20,8909,1974,"Feb",20,"Wed"
1974-02-21,8748,1974,"Feb",21,"Thu"
1974-02-22,9060,1974,"Feb",22,"Fri"
1974-02-23,8151,1974,"Feb",23,"Sat"
1974-02-24,7558,1974,"Feb",24,"Sun"
1974-02-25,8512,1974,"Feb",25,"Mon"
1974-02-26,8856,1974,"Feb",26,"Tue"
1974-02-27,8710,1974,"Feb",27,"Wed"
1974-02-28,8534,1974,"Feb",28,"Thu"
1974-03-01,8924,1974,"Mar",1,"Fri"
1974-03-02,8083,1974,"Mar",2,"Sat"
1974-03-03,7654,1974,"Mar",3,"Sun"
1974-03-04,8890,1974,"Mar",4,"Mon"
1974-03-05,9270,1974,"Mar",5,"Tue"
1974-03-06,8686,1974,"Mar",6,"Wed"
1974-03-07,8640,1974,"Mar",7,"Thu"
1974-03-08,8964,1974,"Mar",8,"Fri"
1974-03-09,7950,1974,"Mar",9,"Sat"
1974-03-10,7417,1974,"Mar",10,"Sun"
1974-03-11,8837,1974,"Mar",11,"Mon"
1974-03-12,8884,1974,"Mar",12,"Tue"
1974-03-13,8507,1974,"Mar",13,"Wed"
1974-03-14,8402,1974,"Mar",14,"Thu"
1974-03-15,8890,1974,"Mar",15,"Fri"
1974-03-16,7834,1974,"Mar",16,"Sat"
1974-03-17,7226,1974,"Mar",17,"Sun"
1974-03-18,8694,1974,"Mar",18,"Mon"
1974-03-19,8978,1974,"Mar",19,"Tue"
1974-03-20,8455,1974,"Mar",20,"Wed"
1974-03-21,8400,1974,"Mar",21,"Thu"
1974-03-22,8668,1974,"Mar",22,"Fri"
1974-03-23,7773,1974,"Mar",23,"Sat"
1974-03-24,7034,1974,"Mar",24,"Sun"
1974-03-25,8570,1974,"Mar",25,"Mon"
1974-03-26,8756,1974,"Mar",26,"Tue"
1974-03-27,8515,1974,"Mar",27,"Wed"
1974-03-28,8461,1974,"Mar",28,"Thu"
1974-03-29,8639,1974,"Mar",29,"Fri"
1974-03-30,7526,1974,"Mar",30,"Sat"
1974-03-31,7305,1974,"Mar",31,"Sun"
1974-04-01,8550,1974,"Apr",1,"Mon"
1974-04-02,9148,1974,"Apr",2,"Tue"
1974-04-03,8571,1974,"Apr",3,"Wed"
1974-04-04,8517,1974,"Apr",4,"Thu"
1974-04-05,8656,1974,"Apr",5,"Fri"
1974-04-06,7455,1974,"Apr",6,"Sat"
1974-04-07,7051,1974,"Apr",7,"Sun"
1974-04-08,8436,1974,"Apr",8,"Mon"
1974-04-09,8917,1974,"Apr",9,"Tue"
1974-04-10,8446,1974,"Apr",10,"Wed"
1974-04-11,8259,1974,"Apr",11,"Thu"
1974-04-12,8386,1974,"Apr",12,"Fri"
1974-04-13,7609,1974,"Apr",13,"Sat"
1974-04-14,7032,1974,"Apr",14,"Sun"
1974-04-15,8342,1974,"Apr",15,"Mon"
1974-04-16,8615,1974,"Apr",16,"Tue"
1974-04-17,8602,1974,"Apr",17,"Wed"
1974-04-18,8333,1974,"Apr",18,"Thu"
1974-04-19,8587,1974,"Apr",19,"Fri"
1974-04-20,7480,1974,"Apr",20,"Sat"
1974-04-21,7208,1974,"Apr",21,"Sun"
1974-04-22,8497,1974,"Apr",22,"Mon"
1974-04-23,9035,1974,"Apr",23,"Tue"
1974-04-24,8665,1974,"Apr",24,"Wed"
1974-04-25,8556,1974,"Apr",25,"Thu"
1974-04-26,8762,1974,"Apr",26,"Fri"
1974-04-27,7490,1974,"Apr",27,"Sat"
1974-04-28,7055,1974,"Apr",28,"Sun"
1974-04-29,8332,1974,"Apr",29,"Mon"
1974-04-30,8677,1974,"Apr",30,"Tue"
1974-05-01,8578,1974,"May",1,"Wed"
1974-05-02,8238,1974,"May",2,"Thu"
1974-05-03,8660,1974,"May",3,"Fri"
1974-05-04,7384,1974,"May",4,"Sat"
1974-05-05,6928,1974,"May",5,"Sun"
1974-05-06,8317,1974,"May",6,"Mon"
1974-05-07,8886,1974,"May",7,"Tue"
1974-05-08,8484,1974,"May",8,"Wed"
1974-05-09,8525,1974,"May",9,"Thu"
1974-05-10,8595,1974,"May",10,"Fri"
1974-05-11,7710,1974,"May",11,"Sat"
1974-05-12,7086,1974,"May",12,"Sun"
1974-05-13,8639,1974,"May",13,"Mon"
1974-05-14,8886,1974,"May",14,"Tue"
1974-05-15,9020,1974,"May",15,"Wed"
1974-05-16,8630,1974,"May",16,"Thu"
