"title","artist","popularity","album_name","album_release_date","genre","danceability","energy","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms"
"One More Night","Michael Kiwanuka",61,"Love & Hate","2016-07-15","r&b",68.4,76.4,-5.342,"0",2.54,1.29,0.0171,14.1,94.4,107.806,233413
"23","Mike WiLL Made-It",68,"23","2013-01-01","rap",85.9,59.9,-5.254,"1",6.14,0.0362,0.00082,13,31.9,140.005,252520
"Aries (YuGo) Part 2 (with Rae Sremmurd & Big Sean feat. Quavo & Pharrell)","Mike WiLL Made-It",62,"Aries (YuGo) Part 2 (with Rae Sremmurd & Big Sean feat. Quavo & Pharrell)","2018-03-29","rap",87.1,55.2,-4.953,"0",5.09,12.8,0,27.2,27,141.973,273087
"Gucci On My (feat. 21 Savage, YG & Migos)","Mike WiLL Made-It",60,"Ransom 2","2017-03-24","rap",93.4,35.9,-5.133,"1",23,17.3,0.000811,15.2,8.86,140.004,274847
"Perfect Pint (feat. Kendrick Lamar, Gucci Mane & Rae Sremmurd)","Mike WiLL Made-It",62,"Ransom 2","2017-03-24","rap",74.1,56.2,-5.474,"0",16.5,17.2,0,7.51,29.2,180.068,240926
"Razzle Dazzle (feat. Future)","Mike WiLL Made-It",39,"Ransom 2","2017-03-24","rap",76.9,60.3,-5.815,"1",8.8,17.7,0,17.2,25.5,120.051,216041
"Runnin (with A$AP Rocky, A$AP Ferg & Nicki Minaj)","Mike WiLL Made-It",66,"Creed II: The Album","2018-11-16","rap",54.5,97.5,-3.193,"0",45.4,17,0,14.5,60.9,123.906,131674
"Y'all Ain't Ready (feat. 2 Chainz)","Mike WiLL Made-It",34,"Ransom 2","2017-03-24","rap",75.9,70.5,-5.21,"1",22.3,0.806,0,88.9,15,140.048,222657
"Bad Man","Missy Elliott",42,"The Cookbook","2005-07-04","rap",84,74.7,-9.112,"0",43.5,48.1,0.00155,10.4,40.5,120.848,312333
"Get Ur Freak On","Missy Elliott",70,"Miss E... So Addictive","2001-05-14","r&b",79.7,75,-9.369,"1",24.7,53.3,10.8,9.5,74,177.87,211120
"One Minute Man (feat. Ludacris)","Missy Elliott",56,"Miss E... So Addictive","2001-05-14","rap",62.2,66.9,-8.419,"1",32.9,2.66,0.000297,15.2,57,93.839,252987
"Work It","Missy Elliott",70,"Under Construction","2002-11-11","rap",88.4,67.7,-5.603,"1",28.3,7.78,0,7.32,58.4,101.868,263227
"Ghettostjerne (feat. ZK)","NODE",49,"Samme Vej","2019-11-08","rap",76.6,66,-5.673,"0",11.7,28.8,0,9.27,46.2,91.999,196387
"Limbo (feat. Gilli)","NODE",61,"Limbo (feat. Gilli)","2020-01-10","rap",82.7,68.2,-5.837,"1",10.2,9.88,0,22.5,84.4,130.009,169206
"Mafiosa","NODE",53,"Samme Vej","2019-11-08","rap",82.9,71.7,-7.112,"0",5.37,49.3,0.00399,7.67,75.4,119.943,191534
"Ra Ta Ta Ta (feat. Stepz)","NODE",55,"Samme Vej","2019-11-08","rap",66.5,73.5,-6.312,"1",11.1,9.23,0,12.9,41.5,167.986,214055
"Samme Vej","NODE",49,"Samme Vej","2019-11-04","rap",54.4,47.4,-9.491,"1",28.1,46.5,0,15.2,44.3,100.157,129374
"Every You Every Me","Placebo",66,"Without You I'm Nothing","1998-10-12","rock",47.8,92.3,-7.547,"1",5.69,0.0027,71.9,32.5,16.5,133.134,213800
"Meds","Placebo",55,"Meds","2006-03-13","rock",51.2,90.9,-4.643,"0",10.4,9.75,0.02,9.43,28.3,155.139,175387
"Running Up That Hill","Placebo",42,"Best Of The Bands","2009-06-29","pop",43.1,45.8,-11.147,"0",4.81,28.4,47.9,10.7,13.2,180.013,294093
"Song to Say Goodbye","Placebo",57,"Meds","2006-03-13","rock",43.6,88.7,-4.748,"1",7.99,0.613,0.509,9.93,43.7,165.033,216187
"Special K","Placebo",55,"Black Market Music","2000-10-09","rock",39.7,94.2,-2.53,"1",8.69,0.0227,24,14,35.6,158.99,232307
"This Picture","Placebo",59,"Sleeping With Ghosts","2003-03-24","rock",46.2,91,-7.198,"1",3.59,0.00858,4.69,8.63,61.6,155.69,214907
"Do It Again","Röyksopp",36,"Do It Again","2014-04-28","edm",61.7,67.4,-5.368,"0",4.97,0.217,0.498,8.08,76.5,123.958,306440
"In the End (Lost Tapes)","Röyksopp",45,"In the End (Lost Tapes)","2019-04-03","pop",35.7,54.4,-10.399,"1",3.71,1.59,78.4,6.39,14.6,114.957,376721
"The Girl and the Robot - Spencer & Hill Remix","Röyksopp",16,"The Girl And The Robot","2009-06-12","edm",84.4,65,-8.446,"0",17.5,12,21.2,6.64,29.2,125.967,367733
"Beautiful Girls","Sean Kingston",77,"Beautiful Girls","2007-07-23","pop",76.2,66.1,-6.075,"0",6.87,15,0,25.6,76.9,130.009,225373
"Fire Burning","Sean Kingston",69,"Tomorrow","2009-09-04","pop",83.9,80.4,-2.513,"1",3.29,1.92,0,33.1,88.8,122.973,239987
"Don't Stop Believing","Soul&Roll",33,"Slow Journey","2014-06-20","rock",73.6,57.6,-6.352,"1",3.01,22.9,0.00573,11.7,26.6,126.979,280634
"I Wanna Be with You Everywhere","Soul&Roll",30,"I Want to Know Who I Am","2013-05-20","rock",69.7,53.9,-8.402,"1",3.1,30.1,0.196,31.2,82.9,114.984,154435
"Party Like It's 1999","Soul&Roll",15,"I Want to Know Who I Am","2013-05-20","pop",87.2,51.9,-7.302,"1",6.82,31.2,0.0338,4.53,78.3,120.006,160625
"Working 9 to 5","Soul&Roll",13,"Slow Journey","2014-06-20","pop",80.3,38.7,-5.875,"1",3.87,34.6,0,9.13,73.7,106.963,164607
"Mystery of Love","Sufjan Stevens",67,"Call Me By Your Name (Original Motion Picture Soundtrack)","2017-11-03","r&b",36.5,27.3,-16.526,"0",3.8,94,43.1,10.9,23.8,132.285,248965
"Should Have Known Better","Sufjan Stevens",65,"Carrie & Lowell","2015-03-31","r&b",57.1,17.2,-20.7,"1",3.18,97.9,27.5,12.4,29.7,90.972,307698
"808","TV Noise",34,"808","2018-04-27","edm",73,96.9,-4.34,"1",11.8,0.038,17.9,15.9,25.9,127.968,154922
"Bring It Back","TV Noise",39,"Bring It Back EP","2019-02-01","edm",80.8,92.5,-2.855,"1",18.3,0.264,21.7,13.4,23.4,126.099,170516
"EDM O' CLOCK","TV Noise",50,"EDM O' CLOCK","2019-02-27","edm",80.5,89.5,-3.527,"1",10.9,0.159,12.4,44,19.6,126.042,148571
"Fire","TV Noise",39,"Fire","2018-12-07","edm",75.1,88.1,-3.422,"0",19.7,0.98,0.0151,36.5,44.9,128.016,154754
"Freaky All Night","TV Noise",33,"Freaky All Night","2019-08-22","edm",75.3,95.9,-2.549,"1",17.9,0.549,0,27.8,75.1,126.046,154762
"Lasers","TV Noise",41,"Lasers","2019-05-03","edm",75.9,85.1,-3.796,"1",15.8,0.02,9.41,16,15.1,125.968,177143
"Mumble","TV Noise",42,"Mumble","2019-11-06","edm",75,91.8,-2.993,"1",11.9,0.0714,0.609,30.3,39.4,126.015,149524
"Ratata","TV Noise",38,"Bring It Back EP","2019-02-01","edm",89.3,74,-2.948,"0",11.4,0.179,0.00399,7.34,64.4,127.978,162899
"Rave","TV Noise",42,"Rave","2019-06-28","edm",78.9,92.6,-3.777,"0",27.3,0.0109,0.00279,32.1,59.9,126.038,171429
"Rhythm","TV Noise",30,"Bring It Back EP","2019-02-01","edm",80.6,82.6,-5.413,"0",9.43,0.0176,33.2,8.15,43.5,126.024,260952
"Scream","TV Noise",29,"Scream","2018-08-17","edm",64.9,92.4,-3.422,"1",5.57,0.0648,29.9,10.1,69.1,128.02,162656
"Weird","TV Noise",29,"Weird","2018-06-29","edm",90.7,91.7,-4.5,"1",11.9,0.0716,17.5,4.48,44.5,126.039,164762
"Love and War","Tamar Braxton",53,"Love and War","2013-09-03","r&b",27,58,-5.717,"0",3.9,46.9,0,34.3,24.2,179.919,241920
"Sleigh Ride","Tamar Braxton",42,"Winter Loversland","2013-11-11","r&b",71.5,65,-5.615,"1",16.3,19.6,0,31.9,51,89.949,117520
"Thank You Lord","Tamar Braxton",27,"Love and War","2013-09-03","r&b",43.1,72.3,-5.221,"1",12.5,67.4,0,32.5,49.5,82.3,199947
"Heaven","The Blaze",62,"Dancehall","2018-09-07","edm",61.3,46.1,-10.493,"0",3.13,2.57,75,7.76,8.37,125.066,219280
"Juvenile","The Blaze",59,"Territory","2017-04-07","rock",63,55.4,-9.675,"0",2.56,0.393,82.9,14.5,11.9,127.013,203693
"Territory","The Blaze",64,"Territory","2017-04-07","r&b",56.3,44,-11.943,"0",8.22,28.6,68.3,26.9,21.3,120.009,276373
"Favorite Liar","The Wrecks",57,"We Are The Wrecks","2017-02-10","pop",64,72.2,-3.489,"1",3.51,1.96,0.00127,12.8,31.7,119.916,242307
"Freaking Out","The Wrecks",53,"Freaking Out","2019-06-21","rock",54.9,86.5,-3.486,"0",6.25,0.0482,0,5.12,43.4,140.017,199840
"Blood Red Moon (Demo)","The xx",43,"Basic Space","2009-08-02","pop",78.1,45.6,-10.837,"1",4.31,82,78.6,7.84,22.9,119.988,133267
"Crystalised","The xx",66,"xx","2009-08-16","pop",76.3,48.4,-12.368,"0",3.11,81.2,39.3,8.41,41.6,122.913,201947
"I Dare You","The xx",63,"I See You","2017-01-13","pop",75.2,54.3,-9.483,"1",3.98,62.3,7.06,10.7,28.2,126.001,233280
"Intro","The xx",72,"xx","2009-08-16","pop",61.7,77.8,-8.871,"0",2.7,45.9,92.5,12.8,15.2,100.363,127920
"Islands","The xx",62,"xx","2009-08-16","pop",87.1,47.2,-11.077,"1",7.56,74,28.6,14.5,70.7,124.04,160720
"On Hold","The xx",65,"I See You","2017-01-13","pop",72.3,66.9,-6.784,"1",3.48,5.22,19.2,10.9,35,125.051,224133
"A-Punk","Vampire Weekend",69,"Vampire Weekend","2008-01-27","rock",55.1,82.1,-4.489,"1",5.39,1.02,4.38,15.3,84.2,174.923,137760
"Hannah Hunt","Vampire Weekend",62,"Modern Vampires of the City","2013-05-27","pop",34.5,31.3,-10.098,"1",6.81,71.7,0.0822,10,16.4,207.969,237973
"Harmony Hall","Vampire Weekend",70,"Father of the Bride","2019-05-03","r&b",65.3,76,-6.086,"1",4.79,47.5,0.0129,9.17,60,98.008,308733
"Sunflower (feat. Steve Lacy)","Vampire Weekend",65,"Father of the Bride","2019-05-03","r&b",86.3,57.6,-5.691,"1",5.67,40.6,0.824,14.1,93.2,100.03,137600
"White Sky","Vampire Weekend",50,"Contra","2010-01-11","pop",57.2,68.4,-5.64,"1",6.49,11.4,0.785,36.4,90.8,135.926,178667
"BOOM","X Ambassadors",62,"ORION","2019-06-14","pop",73.2,59.4,-5.911,"0",6.93,0.805,3.01,8.02,67.6,107.996,164587
"HOLD YOU DOWN","X Ambassadors",62,"ORION","2019-06-14","pop",57.7,62.7,-5.553,"0",5.33,4.91,0.000124,7.66,44.6,78.96,197933
"JOYFUL","X Ambassadors",46,"JOYFUL","2018-01-26","r&b",25.7,45.1,-6.577,"1",3.26,9.17,0.00214,8.69,11.2,77.439,232560
"OPTIMISTIC","X Ambassadors",46,"OPTIMISTIC","2019-08-23","pop",34.6,92.8,-5.074,"1",8.51,0.244,0,68.5,41.6,163.949,165593
"Renegades - Stash Konig Remix","X Ambassadors",49,"Renegades (Stash Konig Remix)","2015-08-28","edm",66.3,69.6,-5.94,"1",11,0.0523,0.000118,66.1,78.9,127.985,248200
"Unsteady","X Ambassadors",77,"VHS","2015-06-30","latin",38.9,66.5,-6.169,"1",6.44,17.8,0.0732,11.6,19.9,117.055,193547
"Frontlines","Zeds Dead",58,"Northern Lights","2016-10-14","pop",40.7,92.5,-4.155,"0",7.47,1.13,0.25,19.2,11.9,151.993,214733
"Save My Grave","Zeds Dead",54,"We Are Deadbeats (Vol. 4)","2020-01-14","rap",60.4,74.2,-8.101,"0",3.15,1.47,0.0733,15.8,12.3,108.021,222387
"Shake","Zeds Dead",49,"Shake","2019-09-10","edm",50.1,91.3,-3.68,"1",6.57,0.00178,32.4,18,36.6,75.026,278400
"Sound Of The Underground","Zeds Dead",48,"Sound Of The Underground","2019-12-04","edm",67.5,92.5,-0.247,"1",10.4,0.323,75.8,11.2,19.2,170.084,248480
"Stardust","Zeds Dead",44,"Northern Lights","2016-10-14","pop",65.9,72.9,-5.839,"0",4.98,14.6,0.0851,8.98,25.4,121.989,258827
