"performer","song","duration_ms","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature","spotify_popularity","billboard_weeks"
"Jimmy Reed","Found Love",136160,0.775,0.451,2,-10.367,1,0.0431,0.841,0.00674,0.0952,0.839,106.01,4,14,3
"Gin Blossoms","Found Out About You",233400,0.543,0.816,7,-8.052,1,0.0284,0.00269,0.0314,0.122,0.71,134.707,4,55,34
"Kane Brown","Found You",191733,0.46,0.821,4,-5.333,0,0.0404,0.0528,0,0.0818,0.438,164.144,4,63,1
"The Beatles","Four By The Beatles",305973,0.527,0.522,0,-10.614,1,0.0259,0.717,0.000595,0.142,0.73,85.155,4,33,3
"Abra Moore","Four Leaf Clover",213840,0.672,0.776,2,-6.351,1,0.0323,0.12,4.1e-05,0.102,0.973,127.992,4,21,13
"Electric Light Orchestra","Four Little Diamonds",249733,0.616,0.906,5,-6.25,1,0.0333,0.0784,0.000533,0.351,0.677,123.328,4,46,2
"Bobby Bare","Four Strong Winds",165266,0.581,0.38,7,-11.429,1,0.0293,0.59,6.51e-05,0.169,0.653,117.597,4,33,7
"Neil Young","Four Strong Winds",245635,0.563,0.407,0,-13.852,1,0.0358,0.432,0,0.104,0.531,108.701,4,52,7
"Kay Starr","Four Walls",188026,0.221,0.238,10,-8.749,1,0.0296,0.974,2.54e-05,0.333,0.151,86.2,3,5,4
"Rihanna & Kanye West & Paul McCartney","FourFiveSeconds",188238,0.576,0.267,2,-5.668,1,0.044,0.878,0,0.119,0.326,205.888,4,80,20
"Herb Alpert & The Tijuana Brass","Fox Hunt",159346,0.666,0.645,5,-10.951,1,0.0428,0.651,0.0787,0.102,0.767,155.148,4,8,6
"Manfred Mann","Fox On The Run",162893,0.546,0.717,0,-6.925,1,0.031,0.056,0,0.34,0.816,97.495,4,44,2
"Sweet","Fox On The Run",205733,0.523,0.762,4,-8.669,1,0.0346,0.0308,0,0.0675,0.881,128.064,4,57,16
"Jimi Hendrix","Foxey Lady",198773,0.507,0.847,1,-5.987,0,0.0411,0.0751,0.237,0.372,0.566,98.096,4,62,4
"Crown Heights Affair","Foxy Lady",308106,0.751,0.802,7,-11.838,0,0.0576,0.00271,0.146,0.103,0.752,114.885,4,11,12
"Wiz Khalifa Featuring Lil Skies","Fr Fr",195590,0.916,0.493,1,-7.371,0,0.162,0.12,2.63e-06,0.211,0.327,140.057,4,70,1
"Nicki Minaj","Fractions",181690,0.924,0.523,0,-6.362,1,0.132,0.011,0,0.17,0.144,131.892,4,76,1
"Cheech & Chong","Framed",166920,0.704,0.808,10,-4.546,1,0.44,0.532,0,0.317,0.855,124.46,4,25,8
"ZZ Top","Francene",212533,0.498,0.804,0,-9.236,1,0.0359,0.43,0.0105,0.182,0.508,127.332,4,13,9
"Edgar Winter Group","Frankenstein",284293,0.625,0.733,5,-12.127,1,0.0927,0.0595,0.88,0.164,0.524,95.211,4,45,20
"Brook Benton","Frankie And Johnny",152133,0.604,0.517,8,-18.515,1,0.0604,0.797,0,0.696,0.685,137.11,4,29,8
"Elvis Presley","Frankie And Johnny",152693,0.339,0.574,8,-6.636,1,0.145,0.863,0,0.193,0.768,68.95,4,22,8
"Sam Cooke","Frankie And Johnny",180146,0.515,0.486,5,-9.718,1,0.215,0.407,0,0.738,0.555,118.218,4,26,11
"Johnny Cash","Frankie's Man, Johnny",135360,0.741,0.754,3,-5.582,0,0.0653,0.643,0,0.124,0.933,160.14,4,26,7
"Connie Francis","Frankie",151200,0.572,0.483,3,-8.123,1,0.0253,0.796,5.97e-06,0.175,0.609,99.605,3,42,15
"Sister Sledge","Frankie",257000,0.813,0.759,6,-7.882,1,0.0878,0.719,0.0071,0.0573,0.963,82.941,4,47,8
"Adina Howard","Freak Like Me",253613,0.655,0.837,11,-6.04,0,0.0723,0.0262,5.85e-06,0.0454,0.66,91.014,4,57,30
"Dis `N' Dat Feat. 95 South,69 Boyz & K-Nock","Freak Me Baby",204333,0.902,0.653,9,-10.619,0,0.198,7.6e-05,7.34e-06,0.0829,0.832,137.97,4,12,18
"Silk","Freak Me",274533,0.697,0.608,4,-10.976,0,0.0463,0.0295,0,0.276,0.725,133.879,4,59,24
"Korn Featuring Amy Lee","Freak On A Leash (Unplugged)",235800,0.441,0.776,2,-5.787,1,0.197,0.238,4.25e-06,0.923,0.169,109.672,4,41,1
"Nutta Butta Featuring Teddy Riley And Anonymous","Freak Out",295373,0.834,0.948,6,-4.022,1,0.157,0.0947,5.68e-06,0.326,0.738,99.53,4,5,11
"Victorious Cast Featuring Victoria Justice","Freak The Freak Out",234480,0.689,0.858,5,-3.185,1,0.061,0.00129,0,0.0988,0.51,140.022,4,65,6
"Will Smith","Freakin' It",239293,0.873,0.833,1,-5.511,1,0.189,0.198,0,0.237,0.927,112.001,4,39,4
"Das EFX","Freakit",199493,0.801,0.518,1,-12.054,1,0.314,0.0286,3.65e-06,0.309,0.598,97.302,4,31,12
"French Montana Featuring Nicki Minaj","Freaks",181920,0.771,0.898,9,-4.749,1,0.256,0.0511,0,0.558,0.768,96.587,4,44,7
"Bar-Kays","Freakshow On The Dance Floor",288960,0.868,0.83,10,-8.101,0,0.0573,0.102,0.0509,0.0432,0.966,130.558,4,42,8
"Play-N-Skillz Featuring Krayzie Bone & Adina Howard","Freaks",267986,0.723,0.596,1,-5.677,0,0.153,0.0897,0,0.22,0.784,69.008,4,39,10
"Lil Dicky Featuring Chris Brown","Freaky Friday",216631,0.755,0.599,8,-5.042,1,0.224,0.147,0,0.109,0.755,133.123,4,79,20
"Gucci Mane","Freaky Gurl",226720,0.755,0.644,7,-2.464,1,0.0642,0.0172,0,0.193,0.742,147.019,4,44,17
"Ray Stevens","Freddie Feelgood (And His Funky Little Five Piece Band)",158466,0.678,0.6,0,-13.29,1,0.108,0.686,0,0.196,0.92,101.079,4,17,2
"Curtis Mayfield","Freddie's Dead (Theme From ""Superfly"")",329466,0.523,0.803,1,-6.321,0,0.0791,0.107,0.000409,0.154,0.921,91.469,4,51,16
"Charlene","Freddie",252029,0.463,0.246,0,-17.864,1,0.0368,0.918,0,0.0885,0.522,103.092,4,2,3
"Patti Smith Group","Frederick",184333,0.421,0.829,6,-8.605,0,0.0387,0.171,0,0.0835,0.935,124.87,4,48,3
"Barbra Streisand","Free Again",221666,0.285,0.151,8,-15.359,0,0.0352,0.879,7.9e-05,0.264,0.17,88.85,4,16,4
"Dierks Bentley","Free And Easy (Down The Road I Go)",201120,0.557,0.825,6,-4.657,1,0.0283,0.00525,0.00164,0.177,0.841,120.015,4,52,20
"The Beatles","Free As A Bird",265293,0.464,0.503,9,-9.081,1,0.0278,0.0526,0.0167,0.18,0.488,144.642,4,51,11
"Lynyrd Skynyrd","Free Bird",547106,0.252,0.844,0,-8.121,1,0.0572,0.0765,0.00018,0.084,0.351,118.158,4,72,20
"John Mayer","Free Fallin'",263573,0.315,0.296,5,-13.262,1,0.0317,0.771,0,0.702,0.436,172.638,4,76,10
"Tom Petty","Free Fallin'",256000,0.63,0.449,5,-13.243,1,0.0252,0.219,0,0.0622,0.623,84.378,4,77,21
"Joni Mitchell","Free Man In Paris",183120,0.59,0.62,2,-7.665,1,0.0363,0.558,0,0.0691,0.661,81.429,4,47,14
"South Shore Commission","Free Man",446506,0.742,0.679,6,-11.774,1,0.151,0.395,0.00309,0.651,0.654,127.474,4,18,7
"Johnny Preston","Free Me",152280,0.516,0.546,5,-9.2,0,0.047,0.805,0.00546,0.122,0.504,112.231,4,5,1
"Edgar Winter Group","Free Ride",187173,0.674,0.686,2,-11.927,1,0.0597,0.29,0.00322,0.189,0.814,124.204,4,60,15
"Tavares","Free Ride",177466,0.589,0.769,2,-8.936,1,0.0311,0.284,0.00152,0.156,0.932,122.447,4,11,6
"Drake","Free Smoke",218673,0.617,0.492,10,-7.588,0,0.448,0.0621,0,0.484,0.208,141.953,4,66,4
"Atlanta Rhythm Section","Free Spirit",239866,0.666,0.648,4,-7.019,0,0.0288,0.0104,1.68e-06,0.0548,0.742,117.612,4,14,3
"Delaney & Bonnie & Friends","Free The People",171415,0.489,0.313,2,-14.016,1,0.0965,0.606,0,0.0921,0.711,166.307,4,6,4
"The Sandpipers","Free To Carry On",168800,0.567,0.356,0,-13.382,1,0.0256,0.782,0.000333,0.312,0.514,96.183,4,8,4
"En Vogue","Free Your Mind",293105,0.765,0.831,7,-6.522,1,0.0565,0.0894,0,0.393,0.809,100.026,4,54,20
"Fantasia","Free Yourself",257426,0.717,0.449,5,-9.688,0,0.0596,0.681,0,0.0902,0.611,108.802,4,55,20
"Chicago","Free",74766,0.465,0.863,5,-7.887,0,0.0472,0.0528,0.843,0.208,0.92,176.198,3,25,9
"Deniece Williams","Free",356560,0.507,0.365,6,-10.733,1,0.0378,0.742,0.00807,0.101,0.469,91.182,4,52,20
"Little Richard","Freedom Blues",180960,0.677,0.399,10,-17.847,1,0.0382,0.467,0.000146,0.156,0.964,179.025,4,33,9
"The Fortunes","Freedom Comes, Freedom Goes",197213,0.708,0.574,7,-10.481,1,0.145,0.0948,0,0.044,0.964,82.972,4,1,5
"Steve Winwood","Freedom Overspill",337333,0.652,0.563,2,-15.464,0,0.0295,0.0379,0.03,0.0437,0.897,94.875,4,35,15
"Beyonce Featuring Kendrick Lamar","Freedom",289760,0.437,0.803,2,-6.412,1,0.305,0.0376,0,0.683,0.406,84.378,4,66,2
"George Michael","Freedom",390861,0.677,0.852,5,-10.856,1,0.045,0.225,3.95e-05,0.0595,0.93,91.691,4,70,16
"Jimi Hendrix","Freedom",205986,0.518,0.9,5,-5.249,0,0.0481,0.0208,0.00454,0.136,0.707,112.217,4,45,8
"Paul McCartney","Freedom",198266,0.377,0.964,7,-3.235,1,0.0709,0.184,0.00283,0.986,0.787,114.188,4,23,2
"The Isley Brothers","Freedom",214760,0.465,0.6,2,-7.826,1,0.0481,0.0624,3.45e-05,0.056,0.733,174.41,3,14,5
"The Pointer Sisters","Freedom",378893,0.603,0.672,0,-7.765,1,0.0355,0.514,1.58e-05,0.126,0.614,140.211,4,10,11
"Wham!","Freedom",302200,0.591,0.651,0,-12.882,1,0.0424,0.42,1.97e-06,0.129,0.824,132.539,4,58,18
"KIDS SEE GHOSTS","Freeee (Ghost Town, Pt. 2)",206605,0.334,0.81,9,-4.855,0,0.0632,0.00457,0,0.158,0.306,151.643,4,62,1
"Jodeci","Freek'n You",379240,0.709,0.521,5,-9.497,0,0.0314,0.0792,0,0.0504,0.449,134.165,4,60,20
"Mya","Free",318733,0.79,0.793,11,-6.122,0,0.0531,0.0139,1.59e-05,0.0662,0.643,108.017,4,33,16
"Rod Wave","Freestyle",174768,0.744,0.648,6,-8.66,0,0.0623,0.0517,0,0.174,0.523,154.063,5,56,1
"Ultra Nate","Free",233293,0.756,0.915,8,-6.094,1,0.0371,0.00405,0.000171,0.0371,0.741,124.97,4,61,19
"Aretha Franklin","Freeway Of Love",352093,0.754,0.799,0,-8.646,1,0.106,0.269,3.32e-06,0.0493,0.674,125.431,4,50,19
"Zac Brown Band","Free",228653,0.453,0.412,1,-7.539,1,0.0276,0.24,0.00021,0.101,0.282,75.752,4,60,19
"T-Pain Featuring Chris Brown","Freeze",218746,0.717,0.659,0,-5.706,1,0.0726,0.018,0,0.0943,0.536,119.991,4,48,10
"Frank Sinatra","French Foreign Legion",122333,0.626,0.32,6,-13.955,1,0.0451,0.473,0,0.0535,0.725,122.59,4,24,7
"Debbie Harry","French Kissin",314360,0.639,0.611,0,-11.835,1,0.0309,0.247,4.09e-05,0.0742,0.81,97.216,4,21,11
"Lil Louis","French Kiss",591733,0.689,0.505,6,-13.846,1,0.0867,0.0133,0.818,0.345,0.564,123.948,4,43,13
"Quicksilver Messenger Service","Fresh Air",319586,0.452,0.757,6,-5.41,0,0.0396,0.409,0.344,0.135,0.567,115.546,4,45,9
"Emitt Rhodes","Fresh As A Daisy",171960,0.642,0.498,0,-10.149,1,0.0298,0.137,0.0509,0.0787,0.395,117.314,4,22,9
"Andy Grammer","Fresh Eyes",198001,0.828,0.56,0,-6.685,1,0.0327,0.548,3.66e-05,0.15,0.872,122.054,4,70,18
"Kool & The Gang","Fresh",266560,0.838,0.381,11,-16.867,0,0.0351,0.00912,0.0988,0.0364,0.95,117.708,4,59,19
"Mac Miller","Frick Park Market",197559,0.593,0.809,6,-5.643,1,0.0597,0.0225,0,0.293,0.227,156.125,4,59,2
"The Cure","Friday I'm In Love",214400,0.526,0.762,0,-12.437,0,0.0342,0.000972,0.000116,0.338,0.505,136.203,4,68,20
"Eric Paslay","Friday Night",167213,0.657,0.841,9,-4.188,1,0.0452,0.16,0,0.177,0.722,120.009,4,60,20
"The Easybeats","Friday On My Mind",163293,0.374,0.991,9,-1.101,1,0.0813,0.38,0.000719,0.0929,0.51,95.105,4,59,14
"Nancy Sinatra","Friday's Child",183553,0.274,0.525,6,-6.935,0,0.0276,0.234,7.37e-05,0.0296,0.235,78.535,3,32,5
"Glee Cast","Friday",228066,0.657,0.848,11,-4.04,0,0.0368,0.0029,0,0.123,0.784,126.002,4,47,2
"Rebecca Black","Friday",210025,0.684,0.889,8,-4.555,0,0.102,0.0307,2.57e-06,0.775,0.582,112.004,4,52,6
"Lord Rockingham's XI","Fried Onions",101760,0.48,0.951,0,-5.809,1,0.126,0.868,0.928,0.178,0.93,157.358,4,3,1
"Bill Withers","Friend Of Mine",268133,0.608,0.708,4,-10.19,0,0.0572,0.531,0.000104,0.609,0.492,109.147,4,32,5
"Kelly Price","Friend Of Mine",377506,0.731,0.379,1,-9.026,1,0.033,0.447,0,0.0729,0.403,109.884,4,46,20
"O.C. Smith","Friend, Lover, Woman, Wife",187280,0.498,0.566,7,-11.915,1,0.0722,0.405,0,0.103,0.896,189.126,4,4,9
"Carl Anderson & Gloria Loring","Friends And Lovers",226560,0.39,0.313,2,-9.928,1,0.0312,0.766,0,0.138,0.157,80.521,4,36,21
"Dionne Warwick & Johnny Mathis","Friends In Love",240066,0.475,0.301,5,-14.716,1,0.0318,0.647,0,0.31,0.207,135.624,4,32,13
"The Rentals","Friends Of P.",212266,0.613,0.721,1,-6.868,1,0.0252,0.000641,1.6e-05,0.13,0.763,107.956,4,40,3
"John Denver","Friends With You",204280,0.328,0.298,11,-13.133,0,0.0276,0.751,6.02e-06,0.0635,0.374,87.476,4,29,11
"Elton John","Friends",260706,0.627,0.53,5,-7.952,0,0.0266,0.661,2.2e-05,0.157,0.314,121.052,4,35,9
"Feather","Friends",189475,0.617,0.914,9,-5.2,1,0.0427,0.00354,0,0.165,0.557,114.926,4,0,5
"Gladys Knight And The Pips","Friendship Train",230400,0.671,0.814,5,-5.354,1,0.0419,0.363,0,0.404,0.962,130.328,4,30,14
"J. Cole Featuring kiLL edward","Friends",257646,0.716,0.652,6,-7.909,0,0.398,0.102,0,0.11,0.494,109.295,5,63,1
"Jody Watley With Eric B. & Rakim","Friends",352120,0.808,0.663,10,-12.193,0,0.157,0.0479,2.53e-05,0.0989,0.515,102.697,4,8,18
"John Michael Montgomery","Friends",234000,0.62,0.401,9,-10.279,1,0.0288,0.23,0,0.0745,0.238,143.961,4,27,12
"Justin Bieber + BloodPop","Friends",189466,0.743,0.733,8,-5.337,1,0.0375,0.00402,0,0.304,0.622,104.977,4,77,10
"Marshmello & Anne-Marie","Friends",202620,0.626,0.88,9,-2.384,0,0.0504,0.205,0,0.128,0.534,95.079,4,85,29
"The Beach Boys","Friends",153026,0.544,0.362,2,-9.885,1,0.0276,0.31,6.2e-05,0.11,0.642,125.737,3,29,7
"The Carters","Friends",344293,0.75,0.573,10,-8.391,0,0.0779,0.137,1.89e-05,0.133,0.303,143.948,4,53,1
"Sly & The Family Stone","Frisky",191626,0.683,0.435,5,-13.361,1,0.0812,0.579,0.116,0.0773,0.885,93.565,4,31,2
"The Brothers Four","Frogg",161533,0.534,0.298,1,-16.544,1,0.123,0.806,1.94e-06,0.116,0.726,177.467,4,19,5
"Nuttin' Nyce","Froggy Style",253600,0.78,0.897,0,-4.79,1,0.0387,0.0565,1.08e-06,0.309,0.905,100.777,4,21,13
"Bette Midler","From A Distance",276346,0.536,0.242,7,-11.716,1,0.0277,0.674,0,0.331,0.331,137.989,4,56,26
"Ned Miller","From A Jack To A King",130000,0.607,0.624,11,-2.983,1,0.0336,0.824,0,0.102,0.694,100.809,4,32,13
"Sunny Sweeney","From A Table Away",215333,0.547,0.805,8,-4.34,1,0.0293,0.0393,1.75e-05,0.332,0.557,110.027,4,44,12
"Chad & Jeremy","From A Window",129120,0.769,0.443,9,-14.173,0,0.0514,0.657,0,0.0909,0.896,124.689,4,11,2
"Dion","From Both Sides Now",234133,0.373,0.476,10,-9.677,1,0.0294,0.812,0.0152,0.0785,0.385,110.327,4,9,2
"Drake","From Florida With Love",234782,0.787,0.477,6,-7.837,0,0.199,0.768,0,0.104,0.476,80.506,4,64,1
"Merle Haggard","From Graceland To The Promised Land",150306,0.673,0.314,10,-11.078,1,0.0401,0.62,2.59e-06,0.111,0.568,89.101,4,10,9
"Barbara Mason","From His Woman To You",210320,0.542,0.309,0,-9.944,1,0.0356,0.537,1.94e-06,0.149,0.296,121.933,4,16,10
"Del Shannon","From Me To You",117000,0.499,0.691,0,-5.777,1,0.0333,0.576,0,0.0825,0.874,147.34,4,19,4
"The Beatles","From Me To You",116160,0.581,0.821,0,-4.387,1,0.0318,0.507,0,0.108,0.968,136.145,4,60,6
"The Village Stompers","From Russia With Love",176493,0.407,0.549,4,-9.975,0,0.0352,0.689,0.961,0.54,0.525,115.305,4,7,6
"Snoop Dogg","From Tha Chuuuch To Da Palace",285786,0.78,0.675,1,-5.568,1,0.279,0.257,0,0.0808,0.681,96.88,4,34,10
"Emerson, Lake & Palmer","From The Beginning",253466,0.617,0.187,4,-18.646,0,0.0444,0.352,0.394,0.119,0.326,133.216,4,56,11
"Britney Spears","From The Bottom Of My Broken Heart",312533,0.677,0.665,7,-5.171,1,0.0305,0.56,1.01e-06,0.338,0.706,74.981,4,54,20
"The Moody Blues","From The Bottom Of My Heart (I Love You)",206693,0.483,0.578,0,-7.506,1,0.0321,0.521,0.000325,0.0864,0.523,107.425,4,9,3
"Dan + Shay","From The Ground Up",253933,0.281,0.58,9,-5.967,1,0.0323,0.333,0,0.122,0.282,151.568,3,70,16
"Gene Chandler & Barbara Acklin","From The Teacher To The Preacher",143666,0.721,0.604,11,-9.568,1,0.0365,0.533,0.000112,0.318,0.961,128.816,4,2,8
"Shania Twain","From This Moment On",235106,0.46,0.505,9,-5.487,1,0.0266,0.42,0,0.134,0.22,135.757,4,66,14
"Drake Featuring Jhene Aiko","From Time",322160,0.738,0.491,1,-9.726,0,0.413,0.626,0,0.126,0.448,94.378,4,70,2
"Lifehouse","From Where You Are",181280,0.363,0.408,9,-10.861,0,0.0273,0.185,2.94e-06,0.113,0.271,87.337,4,53,2
"Thirty Seconds To Mars","From Yesterday",247373,0.467,0.876,10,-4.841,1,0.0693,0.00578,0.00592,0.035,0.131,135.055,4,57,8
"Neil Diamond","Front Page Story",269773,0.45,0.343,3,-18.11,1,0.04,0.525,0.00288,0.0544,0.311,135.429,4,11,8
"Pharrell Featuring Jay-Z","Frontin'",236506,0.894,0.404,9,-5.913,0,0.13,0.453,1.57e-06,0.0801,0.759,102.009,4,67,23
"Meek Mill Featuring Lil Uzi Vert & Nicki Minaj","Froze",210471,0.7,0.693,2,-6.553,1,0.14,0.00375,0,0.314,0.525,133.981,4,55,1
"Madonna","Frozen",367333,0.602,0.616,1,-10.917,1,0.0353,0.662,0.0153,0.149,0.31,108.017,4,61,20
"Rod Wave","Fuck The World",140068,0.705,0.69,8,-6.667,1,0.148,0.266,0,0.0909,0.466,160.005,4,58,1
"The Lovin' Spoonful","Full Measure",159706,0.506,0.513,7,-10.478,1,0.0298,0.678,0,0.0725,0.704,112.523,4,17,3
"Brandy","Full Moon",248933,0.692,0.656,10,-4.81,0,0.151,0.358,0.0029,0.0929,0.629,105.994,4,55,20
"Al Green","Full Of Fire",315000,0.771,0.563,2,-10.722,0,0.0284,0.252,0.00323,0.133,0.884,113.915,4,38,11
"Shalamar","Full Of Fire",372626,0.777,0.574,5,-10.159,0,0.0889,0.0369,1.52e-06,0.0288,0.87,120.094,4,14,12
"Christion","Full Of Smoke",289226,0.558,0.609,1,-8.696,0,0.224,0.427,0,0.942,0.748,145.51,3,42,18
"Whirlwind","Full Time Thing (Between Dusk And Dawn)",335826,0.648,0.873,3,-9.494,1,0.0589,0.292,0.00314,0.208,0.606,118.684,4,3,4
"Leschea","Fulton St.",305306,0.736,0.51,10,-10.718,0,0.309,0.151,0,0.189,0.572,80.353,4,41,2
"Joe Cocker","Fun Time",160400,0.721,0.52,11,-12.38,1,0.0299,0.115,0.00384,0.0683,0.963,105.45,4,15,8
"The Beach Boys","Fun, Fun, Fun",138906,0.517,0.796,3,-6.313,1,0.0341,0.195,0,0.097,0.97,155.532,4,52,11
"Shorty Long","Function At The Junction",168293,0.76,0.646,7,-4.67,1,0.0313,0.178,0,0.352,0.91,114.655,4,21,1
"Lil Wayne","Funeral",194640,0.577,0.624,0,-4.28,1,0.26,0.472,0,0.182,0.324,136.966,4,43,1
"P!nk","Funhouse",204626,0.792,0.865,11,-3.04,0,0.0337,0.00503,1.64e-06,0.0375,0.833,103.935,4,57,13
"James Gang","Funk # 49",246293,0.653,0.928,2,-7.867,1,0.0776,0.0387,0.696,0.096,0.74,91.203,4,57,10
"The Cover Girls","Funk Boutique",403000,0.629,0.857,6,-10.33,0,0.0396,0.00723,0.331,0.083,0.685,115.781,4,9,11
"Wilson Pickett","Funk Factory",175640,0.721,0.658,2,-14.452,1,0.0503,0.186,5.8e-05,0.0263,0.964,129.411,4,3,8
"Sweet","Funk It Up (David's Song)",324093,0.712,0.578,9,-11.103,0,0.0487,0.00897,0.032,0.113,0.774,115.025,4,11,5
"Da Brat","Funkdafied",185933,0.802,0.461,11,-12.367,0,0.302,0.0757,0,0.109,0.74,90.995,4,56,20
"Wilson Pickett","Funky Broadway",156893,0.705,0.349,9,-16.017,1,0.0411,0.0702,0.00181,0.0786,0.95,121.064,4,38,12
"Willie Henderson And The Soul Explosions","Funky Chicken (Part 1)",133640,0.69,0.695,8,-12.208,1,0.0529,0.0534,0.864,0.121,0.432,106.404,4,6,2
"Lords Of The Underground","Funky Child",271066,0.857,0.635,10,-9.532,0,0.198,0.0355,0.00345,0.13,0.53,96.589,4,51,11
"Tone-Loc","Funky Cold Medina",248160,0.988,0.633,5,-15.012,0,0.0888,0.0755,1.88e-06,0.0668,0.929,117.493,4,56,18
"Pretty Purdie","Funky Donkey",178093,0.414,0.935,0,-11.373,1,0.0933,0.151,0.779,0.142,0.6,171.961,4,13,3
"Clarence Carter","Funky Fever",167880,0.551,0.801,7,-8.372,1,0.0661,0.176,0,0.046,0.934,149.547,4,24,3
"Kool & The Gang","Funky Man",189413,0.699,0.725,2,-9.315,1,0.18,0.0862,0.0153,0.0584,0.741,109.862,4,11,4
"Edwin Starr","Funky Music Sho Nuff Turns Me On",189466,0.556,0.872,5,-9.028,1,0.0436,0.232,0,0.364,0.964,87.621,4,24,6
"Clarence Reid","Funky Party",209815,0.668,0.831,9,-6.026,0,0.0818,0.106,0.0108,0.0809,0.704,119.101,4,17,1
"Arthur Conley","Funky Street",143133,0.7,0.903,7,-11.68,1,0.12,0.71,2.61e-06,0.23,0.853,150.224,4,33,12
"Kool & The Gang","Funky Stuff",183733,0.738,0.844,11,-9.53,0,0.0675,0.00139,0.046,0.033,0.576,100.894,4,42,12
"The Stylistics","Funky Weekend",196506,0.753,0.695,1,-7.518,1,0.25,0.103,0.000657,0.0383,0.846,102.887,4,9,9
"Ohio Players","Funky Worm",160986,0.681,0.651,2,-9.786,0,0.0751,0.0939,0.00037,0.0535,0.96,86.604,4,45,19
"Alvin And The Chipmunks","Funkytown",214053,0.807,0.742,0,-7.013,1,0.0563,0.000802,0.929,0.0812,0.285,123.037,4,29,2
"Lipps, Inc.","Funkytown",237506,0.91,0.576,0,-8.385,1,0.0639,0.00063,0.272,0.108,0.212,122.883,4,57,23
"Joe Hinton","Funny (How Time Slips Away)",186106,0.417,0.406,10,-9.005,1,0.0303,0.132,0,0.165,0.0978,102.458,3,16,12
"Donna Fargo","Funny Face",166360,0.538,0.243,2,-13.146,1,0.0329,0.794,2.76e-05,0.135,0.465,96.832,3,28,20
"Tom Jones","Funny Familiar Forgotten Feelings",177706,0.452,0.403,11,-10.898,1,0.0277,0.667,0,0.135,0.446,86.58,3,41,6
"The Delfonics","Funny Feeling",143333,0.265,0.775,0,-5.524,1,0.0369,0.299,0.0198,0.18,0.802,164.528,4,30,2
"Barbra Streisand","Funny Girl",163400,0.267,0.0927,5,-15.469,0,0.0344,0.941,9.88e-05,0.159,0.09,87.961,3,38,9
"First Class","Funny How Love Can Be",180214,0.343,0.486,0,-11.248,1,0.0358,0.0925,0,0.224,0.72,201.008,4,2,7
"Intro","Funny How Time Flies",284490,0.643,0.7,10,-6.814,0,0.221,0.02,0,0.115,0.578,170.159,4,20,3
"Dorothy Moore","Funny How Time Slips Away",232240,0.353,0.323,5,-13.175,1,0.053,0.505,3.54e-05,0.239,0.454,154.346,4,25,11
"Jimmy Elledge","Funny How Time Slips Away",168906,0.267,0.261,7,-13.427,1,0.0301,0.733,0,0.196,0.41,76.253,4,14,15
"Johnny Tillotson","Funny How Time Slips Away",190560,0.236,0.283,7,-11.676,1,0.0332,0.814,0.000288,0.212,0.437,67.572,4,18,6
"The Spinners","Funny How Time Slips Away",216453,0.603,0.364,9,-11.576,1,0.0282,0.693,5.06e-06,0.0804,0.193,98.189,3,6,8
"Ray Stevens","Funny Man",185200,0.388,0.399,5,-10.062,1,0.0291,0.837,0.00214,0.113,0.299,90.716,4,6,3
"Dave Matthews Band","Funny The Way It Is",266626,0.587,0.943,0,-3.277,1,0.0346,0.157,0,0.248,0.747,103.013,4,46,8
"Burl Ives","Funny Way Of Laughin'",156986,0.538,0.418,4,-9.552,1,0.0342,0.705,0,0.316,0.664,147.661,4,12,11
"Gene McDaniels","Funny",135066,0.572,0.342,7,-11.33,1,0.0432,0.658,0,0.048,0.755,117.995,4,1,1
"Maxine Brown","Funny",143133,0.492,0.302,0,-12.065,1,0.0295,0.972,0.119,0.13,0.699,101.241,3,1,10
"Pitbull Featuring Chris Brown","Fun",202306,0.793,0.774,0,-3.667,0,0.0478,0.156,0,0.193,0.547,113.967,4,62,15
"Drake","Furthest Thing",267373,0.484,0.78,9,-5.264,0,0.135,0.147,0,0.057,0.271,137.101,4,59,2
"Lil Uzi Vert","Futsal Shuffle 2020",198912,0.881,0.457,7,-8.191,0,0.156,0.0327,0,0.231,0.296,136.97,4,91,11
"Curtis Mayfield","Future Shock",218933,0.942,0.78,6,-7.517,0,0.0735,0.187,0.00149,0.0597,0.877,110.608,4,30,10
"Flo Rida Featuring Sage The Gemini & Lookas","G.D.F.R.",190185,0.657,0.827,5,-4.036,1,0.0734,0.000704,0.00534,0.065,0.69,145.889,4,69,35
"T.O.K.","Gal Yuh Ah Lead",212800,0.683,0.724,0,-4.839,0,0.282,0.275,0,0.065,0.691,98.711,4,12,9
"War","Galaxy",494106,0.719,0.743,0,-10.735,1,0.0638,0.0545,0.00248,0.0782,0.488,118.284,4,34,9
"Indigo Girls","Galileo",252960,0.49,0.701,5,-7.94,1,0.0394,0.708,0,0.119,0.785,102.504,4,49,2
"Mario Vazquez","Gallery",223613,0.593,0.651,9,-6.904,0,0.135,0.0169,0,0.141,0.323,86.535,4,52,20
"Glen Campbell","Galveston",161066,0.526,0.52,5,-8.918,1,0.0296,0.202,0.000329,0.156,0.675,118.404,4,52,12
"Roger Williams","Galveston",130533,0.492,0.477,5,-12.904,1,0.0417,0.334,0.806,0.0937,0.416,124.657,4,3,2
